State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Bihar,Rohtas,Natwar,Potato,Jyoti,FAQ,16/09/2025,1200,1400,1300
Gujarat,Amreli,Damnagar,Lemon,Lemon,FAQ,16/09/2025,1650,2550,2200
Gujarat,Amreli,Damnagar,Tomato,Local,Non-FAQ,16/09/2025,1650,2550,2200
Haryana,Bhiwani,Bhiwani,Cauliflower,Other,FAQ,16/09/2025,2014,2570,2350
Haryana,Bhiwani,Bhiwani,Pomegranate,Other,Large,16/09/2025,7540,10210,8980
Haryana,Fatehabad,"Bhattu Kalan",Cotton,American,FAQ,16/09/2025,6015,6360,6360
Haryana,Gurgaon,Gurgaon,Brinjal,Brinjal,FAQ,16/09/2025,1000,2000,1500
Haryana,Rewari,Kosli,Banana,Other,Medium,16/09/2025,2000,2000,2000
Kerala,Alappuzha,Harippad,Ashgourd,Other,FAQ,16/09/2025,3000,3500,3000
Kerala,Alappuzha,Harippad,"Bottle gourd",Other,FAQ,16/09/2025,1000,1500,1000
Kerala,Alappuzha,Harippad,Brinjal,Other,FAQ,16/09/2025,4000,4600,4000
Kerala,Alappuzha,Harippad,Cowpea(Veg),Other,FAQ,16/09/2025,4000,4500,4000
Kerala,Alappuzha,Harippad,Mango,Other,Medium,16/09/2025,5000,5500,5000
Kerala,Alappuzha,Harippad,Onion,Big,FAQ,16/09/2025,2100,2700,2100
Kerala,Alappuzha,Harippad,Onion,Other,FAQ,16/09/2025,5000,5500,5000
Kerala,Kasargod,Manjeswaram,Cucumbar(Kheera),Cucumbar,FAQ,16/09/2025,3000,3600,3300
Kerala,Kasargod,Manjeswaram,"Little gourd (Kundru)",Other,FAQ,16/09/2025,6000,8000,7000
Kerala,Kollam,"Anchal VFPCK",Amaranthus,Amaranthus,FAQ,16/09/2025,4500,5000,4800
Kerala,Kollam,"KULATHOOPUZHA VFPCK",Amphophalus,Amphophalus,FAQ,16/09/2025,4000,4500,4200
Kerala,Kottayam,Pampady,Amaranthus,Amaranthus,FAQ,16/09/2025,3000,4500,4000
Kerala,Kottayam,Pampady,Banana,Palayamthodan,Medium,16/09/2025,2500,4000,3500
Kerala,Kottayam,Pampady,Banana,Robusta,Medium,16/09/2025,3500,4500,4000
Kerala,Kottayam,Pampady,Brinjal,Brinjal,FAQ,16/09/2025,4000,5500,5000
Kerala,Kottayam,Pampady,Coconut,Coconut,FAQ,16/09/2025,7300,8000,7500
Kerala,Kottayam,Pampady,"Indian Beans (Seam)",Other,FAQ,16/09/2025,3400,5000,4400
Kerala,Kottayam,Pampady,Onion,Big,FAQ,16/09/2025,1000,2800,2000
Kerala,Kozhikode(Calicut),Mukkom,"Banana - Green","Banana - Green",FAQ,16/09/2025,4200,4500,4300
Kerala,Kozhikode(Calicut),Mukkom,"Coconut Seed",Other,FAQ,16/09/2025,7000,7300,7100
Kerala,Malappuram,Kottakkal,"Amranthas Red","Chawli Lal",FAQ,16/09/2025,2400,2600,2500
Kerala,Malappuram,Kottakkal,"Bitter gourd","Bitter Gourd",FAQ,16/09/2025,3800,4000,3900
Kerala,Malappuram,Kottakkal,"Bottle gourd",Other,FAQ,16/09/2025,1800,2000,1900
Kerala,Malappuram,Kottakkal,"Mousambi(Sweet Lime)",Mosambi-Organic,Large,16/09/2025,5300,5500,5400
Kerala,Malappuram,Kottakkal,"Papaya (Raw)",Other,FAQ,16/09/2025,2500,2700,2600
Kerala,Malappuram,Kottakkal,Pineapple,Other,Large,16/09/2025,4200,4400,4300
Kerala,Palakad,Koduvayoor,"Banana - Green",Other,FAQ,16/09/2025,2500,2900,2700
Kerala,Palakad,Koduvayoor,Garlic,Other,FAQ,16/09/2025,14000,14400,14200
Kerala,Palakad,Koduvayoor,Pumpkin,Other,FAQ,16/09/2025,2200,2600,2400
Kerala,Palakad,Koduvayoor,Snakeguard,Other,FAQ,16/09/2025,2200,2600,2400
Kerala,Thiruvananthapuram,Parassala,Banana,Palayamthodan,Medium,16/09/2025,3000,3200,3000
Kerala,Thiruvananthapuram,Parassala,Brinjal,Round,FAQ,16/09/2025,4000,4500,4000
