Parameter/Year,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975
Food Corporation of India,115.06,112.79,109.53,111.8,117.04,103.2,83.96,83.22,76.3,63.18,63.57,67.33,71.05,78.93,94.41,124.58,160.91,102.73,80.1,73.02,65.78,51.46,59.76,57.67,57.43,46.38,43.63,49.62,46.36,58.35,59.43,57.36,45.99,45.12,41.22,39.47,44.21,51.80,47.23,35.07,19.77,10.44,10.81,10.75
Food and Supplies Department,34.3,46.5,46.5,29.32,25.66,18.38,23.36,18.38,18.70,11.79,6.9,6.83,7.69,11.27,15.98,18.53,19.88,14.44,14.37,11.27,10.58,8.84,8.64,5.35,13.61,4.58,4,4.10,5.63,7.13,11.29,16.99,22.2,18.08,13.03,13.85,18.17,26.07,14.36,7.96,7.5,1.42,5.07,4.59
Markfed Punjab,32.67,13.61,0.74,0.88,29.18,41.03,43.3,44.34,41.52,30.15,19.14,19.13,36.1,35.57,47.02,55.2,39.81,43.61,36.15,35.98,27.49,27.88,27.63,22.63,20.9,16.17,16.09,16.05,16.02,18.36,11.03,14.12,17.97,12.44,15.74,12.9,12.11,12.83,12.46,13.46,9,6.84,7.84,6.65
State Ware Housing Corporation,17,17.57,20.64,20.8,18.93,19.75,19.24,16.57,19.54,52.74,51.45,56.8,36.06,60.25,65.53,78.29,64.16,36.4,30.62,32.51,27.68,34.5,35.66,24.92,26.56,20.02,19.73,22.21,18.62,11.81,15.21,15.6,14.2,10.8,10.97,10.1,9.62,8.60,7.81,6.99,3.86,1.66,5.41,2.99
Central Ware Housing Corporation,7.02,7.13,7.06,7.03,0.09,0.35,0.68,1.29,2.28,7.09,7,7.14,7,8.03,8.31,8.74,8.51,8.06,6.80,6.41,6.15,6.14,6.66,3.84,5.95,6.15,6.15,6.06,5.42,5.42,2.77,3.5,5.52,4.87,4.8,4.8,4.2,4.05,3.62,NA,NA,0.88,0.81,NA
Punjab State civil Supply  Corporation,28.64,29.44,29.44,30.79,31.56,33.26,33.36,32.37,31.59,23.02,18.48,18.53,20.91,13.25,21.64,41.1,39.89,27.41,22.44,24.34,19.57,20.81,16.6,16.99,16.48,7.74,7.26,9.41,5.83,8.05,15.32,18.11,11.75,9.77,9.01,7.49,11.4,8.38,1.48,1.48,NA,NA,0.81,NA
Marketing Board,0.07,0.07,0.22,0.08,0.07,0.21,0.22,0.24,0.12,0.33,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,2.41,2.41,2.41,2.41,2.41,2.41,2.41,0,0,0,0,0,0.00,NA,NA,NA,NA,NA,NA
Punjab Agro Industries Corporation,10.93,18.86,18.86,20.25,23.31,20.39,29.92,29.92,19.50,15.20,9.31,8.9,13.1,16.00,20.23,23.02,24.16,18.4,7.51,8.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,245.69,245.97,232.99,220.95,245.84,236.57,234.04,226.33,209.55,203.50,176.39,185.2,192.45,223.84,273.66,350,357.86,251.59,198.53,192.19,157.79,150.36,155.49,131.94,141.47,103.45,99.27,109.87,100.29,11.53,117.46,128.09,117.63,101.08,94.77,88.6,99.71,111.73,86.96,64.96,40.13,21.24,30.75,24.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
